1747583970.275549 server started (4788): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1747583970.275582 on Linux 5.15.167.4-microsoft-standard-WSL2 #1 SMP Tue Nov 5 00:21:55 UTC 2024
1747583970.275586 using libevent 2.1.12-stable poll
1747583970.275588 using ncurses 6.4 20240113
1747583970.275625 input_key_build: 0x10e003 (PasteStart) is \033[200~
1747583970.275628 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1747583970.275630 input_key_build: 0x10e195 (F1) is \033OP
1747583970.275632 input_key_build: 0x10e196 (F2) is \033OQ
1747583970.275634 input_key_build: 0x10e197 (F3) is \033OR
1747583970.275636 input_key_build: 0x10e198 (F4) is \033OS
1747583970.275637 input_key_build: 0x10e199 (F5) is \033[15~
1747583970.275639 input_key_build: 0x10e19a (F6) is \033[17~
1747583970.275641 input_key_build: 0x10e19b (F7) is \033[18~
1747583970.275642 input_key_build: 0x10e19c (F8) is \033[19~
1747583970.275644 input_key_build: 0x10e19d (F9) is \033[20~
1747583970.275646 input_key_build: 0x10e19e (F10) is \033[21~
1747583970.275647 input_key_build: 0x10e19f (F11) is \033[23~
1747583970.275649 input_key_build: 0x10e1a0 (F12) is \033[24~
1747583970.275650 input_key_build: 0x10e1a1 (IC) is \033[2~
1747583970.275654 input_key_build: 0x10e1a2 (DC) is \033[3~
1747583970.275655 input_key_build: 0x10e1a3 (Home) is \033[1~
1747583970.275657 input_key_build: 0x10e1a4 (End) is \033[4~
1747583970.275659 input_key_build: 0x10e1a5 (NPage) is \033[6~
1747583970.275660 input_key_build: 0x10e1a6 (PPage) is \033[5~
1747583970.275662 input_key_build: 0x10e1a7 (BTab) is \033[Z
1747583970.275664 input_key_build: 0x10e1a8 (Up) is \033[A
1747583970.275665 input_key_build: 0x10e1a9 (Down) is \033[B
1747583970.275668 input_key_build: 0x10e1aa (Left) is \033[D
1747583970.275670 input_key_build: 0x10e1ab (Right) is \033[C
1747583970.275671 input_key_build: 0x10e1ac (KP/) is /
1747583970.275673 input_key_build: 0x10e1ad (KP*) is *
1747583970.275674 input_key_build: 0x10e1ae (KP-) is -
1747583970.275676 input_key_build: 0x10e1af (KP7) is 7
1747583970.275677 input_key_build: 0x10e1b0 (KP8) is 8
1747583970.275679 input_key_build: 0x10e1b1 (KP9) is 9
1747583970.275680 input_key_build: 0x10e1b2 (KP+) is +
1747583970.275682 input_key_build: 0x10e1b3 (KP4) is 4
1747583970.275683 input_key_build: 0x10e1b4 (KP5) is 5
1747583970.275684 input_key_build: 0x10e1b5 (KP6) is 6
1747583970.275686 input_key_build: 0x10e1b6 (KP1) is 1
1747583970.275687 input_key_build: 0x10e1b7 (KP2) is 2
1747583970.275689 input_key_build: 0x10e1b8 (KP3) is 3
1747583970.275690 input_key_build: 0x10e1b9 (KPEnter) is \n
1747583970.275693 input_key_build: 0x10e1ba (KP0) is 0
1747583970.275694 input_key_build: 0x10e1bb (KP.) is .
1747583970.275696 input_key_build: 0x200000000009 (C-Tab) is \t
1747583970.275698 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1747583970.275699 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1747583970.275701 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1747583970.275702 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1747583970.275704 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
